ACTION|行動
AFFECT|情感/影響
AMBITION|雄心
ANGER|憤怒
ANXIETY|焦慮
ANXIOUS|焦慮的
ASPIRATION|抱負
ATTENTION|注意力
ATTENTION|注意
ATTITUDE|態度
BEHAVIOR|行為
BEHAVIORS|行為(複數)
BRAIN|大腦
BRAVER|更勇敢的
BRAVERY|勇敢
CHARISMA|魅力
COGNITION|認知
COGNITION|認知能力
COGNITIVE|認知的
COMPASSION|憐憫
CONFIDENCE|自信
CONSCIENCE|良心
CONSCIOUS|有意識的
CONSCIOUSNESS|意識
COURAGE|勇氣
CREATIVITY|創造力
DEDICATION|奉獻
DEPRESSION|抑鬱
DESIRE|慾望
DESIRES|慾望(複數)
DRIVE|驅動力
EGO|自我/自負
EMOTION|情感
EMOTIONS|情緒(複數)
EMPATHETIC|同理心的
EMPATHY|同理心
ENVY|羨慕
ESTEEM|自尊
FEELING|感覺
FEELINGS|感受
FRUSTRATION|挫折
GENEROSITY|慷慨
GOAL|目標
GOALS|目標(複數)
GRATITUDE|感激
GRIEF|悲痛
HAPPINESS|幸福
HONESTER|更誠實的
HONESTY|誠實
IDENTITIES|身份認同
IDENTITY|認同/身份
IMAGINATION|想像力
INCENTIVE|激勵
INSPIRATION|靈感
INSTINCT|本能
INTEGRITY|正直
INTELLECT|智力
INTUITION|直覺
JEALOUSY|嫉妒
JOY|歡樂
KNOWLEDGE|知識
LOYALIST|忠誠者
LOYALTY|忠誠
MELANCHOLY|憂鬱
MEMORY|記憶
MIND|心智
MOOD|心情
MOTIVATION|動機
MUTINY|叛變
OPTIMISM|樂觀
PASSION|激情
PATIENCE|耐心
PERCEPTION|感知
PERCEPTIONS|感知(複數)
PERSEVERANCE|堅持不懈
PERSONALITY|個性
PESSIMISM|悲觀
REACTION|反應
REACTIONS|反應(複數)
REBELLION|叛亂
RESPONSE|回應
RESPONSES|回應(複數)
SANE|神智清醒的
SELF|自我
SENTIMENT|多愁善感
SORROW|悲傷
SUBCONSCIOUS|潛意識的
SYMPATHY|同情心
TEMPERAMENT|氣質
TEMPERAMENTS|氣質(複數)
THOUGHT|思考/想法
TOLERANCE|寬容
TRAIT|特質
TRAITS|特質(複數)
UNCONSCIOUS|無意識的
WILL|意志
WISDOM|智慧
WISER|更聰明的
